STATE,NAME,District,EMP_2011,EMP_2001,MSW_2011,MSW_2001,BF_2011,BF_2001,MSL_2011,MSL_2001,FC_2011,FC_2001,CHH_2011,CHH_2001,F_EMP_2001,F_EMP_2011,EMP_change,MSW_change,BF_change,MSL_change,FC_change,CHH_change,F_EMP_change,Asset_2001,Asset_2011,Asset_Change
9,Mirzapur,199,1,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,3
9,Sonbhadra,200,1,1,2,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,2,1,1,1,2
9,Etah,201,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,2,3
10,Pashchim Champaran,203,1,2,2,2,1,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,1,1,1,2
10,Purba Champaran,204,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2
10,Sheohar,205,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2
10,Sitamarhi,206,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2
10,Madhubani,207,1,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2
10,Supaul,208,1,2,2,2,1,1,1,1,2,2,1,1,3,1,1,2,2,2,2,2,1,1,1,2
10,Araria,209,2,2,2,2,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2
10,Kishanganj,210,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2
10,Purnia,211,1,2,2,2,1,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,1,1,2
10,Katihar,212,1,2,2,2,1,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,1,1,1,2
10,Madhepura,213,2,2,2,2,1,1,1,1,2,2,1,1,3,1,2,2,2,2,2,2,1,1,1,2
10,Saharsa,214,1,2,2,2,1,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,1,1,1,2
10,Darbhanga,215,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2
10,Muzaffarpur,216,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2
10,Gopalganj,217,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2
